Datetime,Open,High,Low,Close,Volume
1609437660000,28541.53000000,28570.19000000,28540.01000000,28555.05000000,20.01262100
1609437720000,28555.06000000,28577.06000000,28521.35000000,28521.35000000,59.77922700
1609437780000,28523.69000000,28552.57000000,28523.68000000,28549.99000000,16.87739000
1609437840000,28550.00000000,28550.00000000,28527.48000000,28539.99000000,15.75999000
1609437900000,28539.99000000,28549.38000000,28526.82000000,28526.83000000,28.93610600
1609437960000,28526.83000000,28527.00000000,28488.00000000,28526.92000000,57.63843100
1609438020000,28526.92000000,28594.53000000,28519.85000000,28590.98000000,28.77047300
1609438080000,28590.98000000,28594.37000000,28557.63000000,28593.07000000,50.77686300
1609438140000,28594.37000000,28612.24000000,28424.56000000,28606.57000000,131.71357600
1609438200000,28605.66000000,28658.74000000,28605.66000000,28621.57000000,73.65399700
1609438260000,28621.58000000,28673.38000000,28620.79000000,28662.86000000,36.45137000
1609438320000,28664.23000000,28664.23000000,28633.27000000,28650.35000000,37.45922900
1609438380000,28650.34000000,28654.45000000,28642.04000000,28654.45000000,13.80025500
1609438440000,28654.47000000,28673.36000000,28648.68000000,28655.52000000,16.66841200
1609438500000,28655.51000000,28666.66000000,28619.36000000,28630.94000000,28.26424100
1609438560000,28630.94000000,28655.51000000,28627.92000000,28651.17000000,27.85048100
1609438620000,28651.17000000,28671.18000000,28651.17000000,28669.04000000,35.41442500
1609438680000,28669.04000000,28675.00000000,28661.36000000,28661.36000000,30.99080500
1609438740000,28661.36000000,28670.83000000,28653.04000000,28662.26000000,24.42095700
1609438800000,28662.64000000,28664.45000000,28634.35000000,28647.86000000,31.70898800
1609438860000,28647.87000000,28733.50000000,28643.04000000,28733.18000000,68.84907600
1609438920000,28733.18000000,28746.28000000,28719.82000000,28738.12000000,44.91669900
1609438980000,28740.26000000,28758.15000000,28733.21000000,28739.01000000,94.35749400
1609439040000,28739.02000000,28743.93000000,28720.49000000,28723.70000000,29.37797600
1609439100000,28723.69000000,28743.93000000,28710.00000000,28735.51000000,33.25254800
1609439160000,28735.00000000,28746.69000000,28730.24000000,28735.70000000,19.65373400
1609439220000,28735.69000000,28747.29000000,28732.60000000,28732.62000000,31.12202100
1609439280000,28732.62000000,28756.48000000,28732.59000000,28745.14000000,39.80598400
1609439340000,28745.14000000,28756.23000000,28732.62000000,28749.00000000,25.11827000
1609439400000,28749.00000000,28800.00000000,28749.00000000,28796.36000000,45.42309300
1609439460000,28796.37000000,28798.66000000,28736.60000000,28744.27000000,55.00546700
1609439520000,28744.27000000,28749.00000000,28724.99000000,28732.02000000,48.19252300
1609439580000,28732.01000000,28759.70000000,28729.16000000,28754.23000000,28.78965900
1609439640000,28754.23000000,28777.83000000,28748.17000000,28754.38000000,29.69939000
1609439700000,28754.37000000,28761.85000000,28741.17000000,28741.17000000,32.35073700
1609439760000,28741.17000000,28746.31000000,28724.82000000,28746.30000000,57.53494600
1609439820000,28746.31000000,28759.39000000,28746.30000000,28751.73000000,15.39274400
1609439880000,28754.46000000,28755.42000000,28746.96000000,28747.87000000,28.12886600
1609439940000,28747.86000000,28758.63000000,28737.34000000,28756.74000000,34.47939100
1609440000000,28756.75000000,28764.83000000,28735.00000000,28742.81000000,34.08596900
1609440060000,28742.81000000,28751.06000000,28734.83000000,28743.84000000,40.96225400
1609440120000,28743.87000000,28743.87000000,28724.99000000,28728.31000000,36.82584300
1609440180000,28728.00000000,28750.00000000,28724.86000000,28740.29000000,16.53684100
1609440240000,28740.30000000,28761.88000000,28740.00000000,28759.20000000,22.89322500
1609440300000,28759.20000000,28809.09000000,28759.20000000,28774.79000000,88.35192100
1609440360000,28774.79000000,28778.64000000,28768.25000000,28778.26000000,26.63537600
1609440420000,28778.27000000,28794.61000000,28774.36000000,28781.10000000,37.76863400
1609440480000,28781.09000000,28834.00000000,28781.08000000,28823.82000000,85.44308600
1609440540000,28823.81000000,28834.00000000,28800.52000000,28831.48000000,60.61420100
1609440600000,28831.48000000,28833.00000000,28801.18000000,28828.56000000,29.18929000
1609440660000,28828.55000000,28834.00000000,28824.04000000,28831.13000000,47.35625400
1609440720000,28833.58000000,28834.00000000,28802.13000000,28834.00000000,47.65843100
1609440780000,28834.00000000,28834.00000000,28774.76000000,28792.25000000,56.60861100
1609440840000,28792.04000000,28830.00000000,28789.28000000,28826.51000000,54.03946000
1609440900000,28826.51000000,28858.46000000,28826.51000000,28839.33000000,141.79935700
1609440960000,28839.32000000,28866.63000000,28834.54000000,28846.19000000,45.01421500
1609441020000,28846.19000000,28898.00000000,28833.00000000,28878.13000000,63.77459200
1609441080000,28878.14000000,28898.00000000,28853.37000000,28858.92000000,55.40213500
1609441140000,28858.93000000,28881.33000000,28846.42000000,28872.25000000,29.44910500
1609441200000,28872.24000000,28892.08000000,28858.28000000,28863.37000000,29.76736400
1609441260000,28863.37000000,28877.11000000,28811.99000000,28812.01000000,47.52898500
1609441320000,28811.97000000,28812.78000000,28784.00000000,28784.87000000,37.26612300
1609441380000,28784.87000000,28788.26000000,28744.32000000,28774.43000000,55.65079500
1609441440000,28774.42000000,28774.43000000,28742.41000000,28768.58000000,46.58486900
1609441500000,28768.58000000,28819.99000000,28753.40000000,28811.66000000,44.95036100
1609441560000,28811.65000000,28859.33000000,28811.65000000,28841.64000000,40.12485200
